District_Name,Year,Kharif,Rabi,Autumn,Summer,Whole Year,Winter
Kheri,2007,27.998,19.26075,22.982750000000003,30.70075,27.675756301691496,18.316
Kheri,2008,27.70866666666667,19.789,22.88725,30.160500000000003,27.39906302514096,18.07925
Kheri,2009,28.07733333333333,20.412,23.50025,30.3165,27.682838585428424,18.54825
Kheri,2010,27.98933333333333,20.334000000000003,23.34575,30.4535,27.934486548785696,19.18775
Kheri,2011,28.326000000000004,19.6325,23.337,30.73825,27.90354054573214,17.96975
Kheri,2012,27.90133333333333,19.84325,23.1625,30.3255,27.73804504547768,18.437
Kheri,2013,27.331333333333333,19.028,22.30975,30.543,27.19492042045647,17.96125
Kheri,2014,28.62033333333333,20.1715,24.75625,30.8025,27.867993368371373,17.7165
Kheri,2015,28.68733333333333,21.084750000000003,24.459250000000004,30.559,29.044249447364283,20.16325
Kheri,2016,29.10766666666667,21.632,24.84475,30.337,28.47152078728036,18.916000000000004
Kheri,2017,29.555666666666667,21.36175,25.078000000000003,30.8345,28.44746006560669,19.15625
Kheri,2018,28.31833333333333,20.44025,23.36775,31.047000000000004,28.55903833880056,19.0335
Khordha,2001,26.301,22.732750000000003,24.218,27.30625,25.63491666666667,23.60675
Khordha,2002,26.73333333333333,22.33825,24.208,27.3465,27.33724305555556,22.441750000000003
Khordha,2003,26.894333333333336,21.9765,23.93575,27.69075,27.3189369212963,21.48125
Khordha,2004,28.411666666666665,23.86425,26.07175,27.7365,27.905911410108025,22.57475
Khordha,2005,28.098333333333333,23.8135,25.4785,28.40775,29.01807595084234,23.66825
Khordha,2006,27.646666666666665,23.883,25.1455,28.26825,28.527506329236868,23.41575
Khordha,2007,28.376666666666665,23.449,25.261000000000003,28.93675,29.17554219410308,24.01
Khordha,2008,28.026333333333337,23.492500000000003,25.381500000000003,28.6495,28.85412851617525,23.0785
Khordha,2009,28.09766666666667,23.946,25.42,28.665750000000003,28.90459404301461,23.441750000000003
Khordha,2010,27.850333333333328,23.75725,25.342,28.34075,28.92679950358456,23.679
Khordha,2011,28.17933333333333,23.65825,25.534750000000003,28.87875,28.98139995863205,23.3845
Khordha,2012,27.81533333333333,23.91925,25.49275,28.5585,29.083116663219343,23.78125
Khordha,2013,27.894666666666662,24.195,25.98025,28.863,29.025426388601613,23.59
Khordha,2014,28.455,24.3495,26.0205,29.0125,29.285452199050138,23.51275
Khordha,2015,28.037666666666667,23.8025,25.478,28.49975,29.266704349920843,24.10075
Khordha,2016,28.30366666666667,24.18225,25.68575,28.557250000000003,29.18005869582673,23.67675
Khordha,2017,28.61566666666667,24.27525,26.2235,28.70475,29.36858822465223,23.93575
Khordha,2018,28.173,24.141,25.705,28.767750000000003,29.39329901872102,24.31275
Kinnaur,2001,16.080000000000002,8.349,11.595,17.88425,13.03225,7.37725
Kinnaur,2002,15.344,7.90775,10.9615,17.397750000000002,13.228687499999998,5.657
Kinnaur,2003,16.649333333333335,8.36575,11.9105,18.50725,13.957140625,6.49225
Kinnaur,2004,15.598666666666666,8.768,11.37975,17.738500000000002,14.26626171875,7.36575
Kinnaur,2005,15.282333333333332,7.574999999999999,11.244249999999996,17.1555,13.135355143229164,5.4535
Kinnaur,2006,15.561666666666667,9.197499999999998,11.518499999999998,18.024,14.011529595269096,7.0455000000000005
Kinnaur,2007,15.611666666666666,7.8025,11.36025,17.9925,13.641377466272424,6.26325
Kinnaur,2008,15.844,9.0635,11.6685,17.37225,13.680614788856031,6.640749999999999
Kinnaur,2009,16.006333333333334,9.0655,11.91075,17.774250000000002,14.032551232404666,6.62875
Kinnaur,2010,15.88,8.944749999999999,11.704249999999998,18.375,14.238379269367051,7.2752500000000015
Kinnaur,2011,15.537,8.49125,12.008,17.67225,13.825698272447257,5.87975
Kinnaur,2012,15.042666666666667,8.530999999999999,11.340749999999998,16.932,13.82589152270394,7.21925
Kinnaur,2013,15.491,7.836250000000001,10.8855,18.042,13.599990960225329,6.453250000000001
Kinnaur,2014,16.51,8.66275,12.94575,18.5175,14.185582580018776,6.013
Kinnaur,2015,16.923000000000002,9.804,13.032,18.525,15.556798548334898,8.5875
Kinnaur,2016,17.145,10.54775,13.41275,18.1665,14.956483212361242,7.115
Kinnaur,2017,17.348000000000003,10.22525,13.3325,18.61125,15.051456934363436,7.7665
Kinnaur,2018,16.352666666666664,9.5915,12.0405,18.41625,15.009121411196952,7.535500000000001
Kishanganj,2001,27.606000000000005,20.74725,23.6215,28.32025,24.709499999999995,19.794
Kishanganj,2002,27.073,20.37825,23.11625,28.37525,26.227374999999995,18.84475
Kishanganj,2003,27.39333333333333,20.4855,23.5845,28.636000000000003,26.634697916666667,19.19075
Kishanganj,2004,28.46033333333333,21.49175,24.354,28.6445,27.299391493055552,19.929
Kishanganj,2005,28.182666666666663,20.6935,23.816,28.49325,27.075282624421305,19.258
Kishanganj,2006,27.785666666666668,21.413250000000005,23.984500000000004,28.80475,26.96494021870178,19.353
Kishanganj,2007,27.918333333333333,20.56525,23.78175,28.454,27.01741168489181,19.075
Kishanganj,2008,27.83966666666667,20.45275,23.59875,28.441750000000003,26.66961764040765,18.7625
Kishanganj,2009,27.86366666666667,21.4295,24.31675,28.55375,26.8896348033673,19.4615
Kishanganj,2010,27.861666666666668,20.71625,23.61425,28.94375,26.924552900280613,19.05825
Kishanganj,2011,27.86433333333333,20.515,24.0225,28.524,26.991796075023384,19.0065
Kishanganj,2012,27.70833333333333,21.0535,24.183,28.29425,26.920066339585286,19.31625
Kishanganj,2013,27.471666666666664,20.3175,23.32375,28.569500000000005,26.66225552829877,18.719
Kishanganj,2014,28.706,21.64175,24.75725,29.09375,27.41018796069156,19.227
Kishanganj,2015,28.028,21.67675,24.3825,28.61925,27.729348996724298,20.2025
Kishanganj,2016,27.71733333333333,21.37025,24.03375,28.58625,27.109862416393693,19.14425
Kishanganj,2017,28.484,21.858000000000004,24.823000000000004,29.0215,27.57748853469948,19.67525
Kishanganj,2018,27.761333333333337,21.093000000000004,24.0575,28.8685,27.36004071122496,19.8755
Kodagu,2001,24.29233333333333,24.58825,24.54725,23.9855,25.0605,25.4335
